affiliation_id,institution_name,city,country
f24e8bdd-f134-4734-853b-f5665dab74b4,"School of Civil Engineering and Geomatics, Universidad del Valle, Cali",Cali,Colombia
33e131b1-a040-4dc2-af09-648d0a577fbf,NC State University,Raleigh,United States
547abb14-7075-4fbb-ab73-7064662e84ce,Idaho National Laboratory,Idaho Falls,United States
d9b7d384-116f-448b-a691-8484c2f57870,"Hydro-Québec, Montreal, Canada, Concordia Institute for Information Systems Engineering",Montreal,Canada
33a294fc-5e58-4e67-adc9-7ef0c62fe72c,"Strategy Scenario Planner, Indian Institute of Technology Bombay",Mumbai,India
0749faa0-16db-4cef-90a2-9a4e84151396,"School of Electrical Engineering, Naval University of Engineering",Wuhan,China
66247b93-abbd-4942-b0c8-a142bfa51fb9,"School of Power Engineering, Naval University of Engineering",Wuhan,China
7af78425-108e-40b6-a583-001973486db2,"Key Laboratory of Geological Survey and Evaluation, China University of Geosciences",Wuhan,China
892b3dc7-0798-42d7-8456-7ab252204be3,"Urban Mobility Institute, Tongji University",Shanghai,China
bf8fd596-b003-4a57-8b54-07a959a40ce1,"Urban Mobility Institute, Tongji University, Shanghai, China, Tongji University",Shanghai,China
db947b8e-7698-4613-ab68-c34749478931,"College of Transportation Engineering, Tongji University, Shanghai, China, Tongji University",Shanghai,China
3abd50fb-b8d2-4e27-bed3-e4a836afd7e9,Tongji University,Shanghai,China
8f7d6024-cbbc-4b0a-b498-3ab65df7f06b,"College of Transportation Engineering, Tongji University",Shanghai,China
d72d8052-de33-4e4c-ac64-ad1949fc3128,"School of Civil Engineering and Architecture, Xiamen University of Technology",Xiamen,China
e16decbd-8571-4aa3-be00-46db1a6454c2,The University of Oklahoma,Norman,United States
422a5f0f-5042-4a2b-956c-fcebe8d337f6,University of Florida,Gainesville,United States
ee01ce7a-dff2-4b07-98e1-ef923d6f1a88,"Construction and Planning, University of Florida",Gainesville,United States
742e8332-33dd-4f66-9351-be0cc216f126,Beijing National Research Center for Information Science and Technology,Beijing,China
ba9bb629-d805-4f1f-aabe-60f0228ddd55,Nanjing University of Aeronautics and Astronautics,Nanjing,China
0e7472b5-5b09-4823-b2d7-bcbfb1d2637d,"Nanjing University of Aeronautics and Astronautics, Nanjing, China, Ministry of Education of the People's Republic of China",Beijing,China
1f599ed3-fe4c-46f8-9762-f24eb15e2924,"College of Mechanical Engineering, Yangzhou University",Yangzhou,China
f4ba9003-a842-41b5-ac70-f438d18642b2,"Department of Computer Science, Universität Innsbruck",Innsbruck,Austria
3ddbb3c6-402c-4fa1-97c0-33d5efb5f6b0,"Unit for Energy Efficient Buildings, Universität Innsbruck",Innsbruck,Austria
1c4a9de6-94b8-4f4a-9705-5cc2d28094f5,"Programming and Software Engineering, Universität Regensburg",Regensburg,Germany
