keyword_id,keyword
05f1cc35-06e0-477a-9f91-27591624ec2d,3d printing
4211c2be-302c-4232-9293-3c64f5925af6,additive construction
3f473070-0262-489f-8bbd-72d1e454767e,automation
0d749165-0471-4756-ad94-65c7fd7bb55f,bim
45e7ebdf-5e6e-4a74-bfb8-5e8b8055af85,dynamo
f6de6a90-7e9b-4087-899a-bb797c6f7c6a,prefabrication
3a4a7220-c339-466a-9560-a72b3f9652ab,revit
df8ebc15-a6be-4189-9dcd-7defa25e2c99,workflow optimization
ba4c61e7-d426-461e-89aa-0e729c02a087,building information model
4403109e-d697-4f8f-afd6-593073733d6f,finite element model
012ef523-6dea-49b1-b17a-4ef55763b717,interoperability
7e9b5941-b90f-4384-aa7f-36de7c6d12c4,piping
0d4001be-db84-4c64-9088-ebafbc504d72,structural analysis
77c90600-1f45-49d3-a953-9f4a66a8b0fe,architectural design
7d7929c0-c93b-48b4-83ca-f6c276ee69ca,construction
12d3957b-cf14-451c-a5c0-cb24739914ad,information management
35a3b7ed-f425-484c-a745-2bf9bb5f20d4,information theory
75034952-12d8-4938-b983-19c40cdee004,nuclear energy
42426e8b-d5e8-4e83-875a-d8ea85886eaa,nuclear fuels
71fd3bea-5636-47c8-8e7c-f4c945a4ed76,nuclear power plants
e340b345-3688-4a30-b99f-8f2bfbca9e2d,project management
1c9bd8dd-58a1-4c6e-9709-180afeceb971,risk assessment
522588b0-988f-4b1b-b15f-d419dec923e3,risk management
7079dcb4-3f15-44ab-b0e5-92212057588b,safety engineering
673399c2-22ce-4a42-bb63-bb13241b2201,building information modelling
76daef26-78da-47d3-a474-8f22a0103ef9,construction engineers
3eabf22a-b792-48aa-b8c3-20bf6c5cb779,design and construction
de6c4fd9-ae3b-49fc-8ef8-86466ef9f427,design change
b08f29f0-2d23-49a7-abc0-04861e2b68f1,design engineers
c3592a3e-680b-44e0-93be-a393d79d75c7,digital analysis
9baf31ac-93ab-4df8-9c90-f487fa0869fe,finite element modelling (fem)
15f42f4c-cec4-4fad-bfd6-45b58eeea577,mechanical
2c567d55-fbf4-4bfc-b0fc-dd695cb5bfce,property
499aa948-3c64-4c99-aa35-d2391c2fd449,architecture
578b964b-60e3-41b5-a4b3-d34bb1f03fe3,building information modeling (bim)
b08b39fe-aaf2-4b89-9e97-e1037d7034d6,collaboration
ec1a0613-527f-4088-8e88-b95b4eca0b60,construction (aec) industry
82669aa9-999a-4168-870c-34bf72277ded,construction digital twin
c3517f09-0fc8-4f96-a82d-d383acea9da5,delay claims
c8623fc8-b62a-485e-9f2c-01c4825271a4,engineering
50a44747-da69-449e-a9a9-7bcf7dd32ef6,four-dimensional (4d) simulation
6ef89966-af88-4fca-b53d-6268a6ca2c7b,visualization
f1c1fb7e-2306-48cc-8596-814791c77f76,aec industry
51f44e69-7016-4a21-99c4-ed4695227bb4,building information modeling
fde46390-0d5d-478a-a0c1-27453bd90c50,constructability
567f109f-d2ff-42dd-a7f5-649c97ea0728,construction delays
f44a87e8-0152-457b-b6a8-eab0ce219fc2,delay claim
bc8be6f3-624d-48fb-9867-7ca7d33ff400,four-dimensional simulation
a3be3c19-5c90-4da2-a1b8-3a8b39a26a5e,collaborative behaviors and practices
14ae8183-907e-45c5-a0d5-3a3f0e8853cf,digital transformation.
58459370-f8b1-48a9-8109-8d0faaaab75a,interdependencies
33180b0f-a2d0-4b33-ac29-94a2a8049cce,human resource management
1ab0c451-8063-4bfd-8bf3-560457a4a8c2,metadata
01a35392-8e50-4d96-820e-4adb939889f5,best practices
e3722da4-59ed-4ef3-84d3-51b71b290202,collaborative behavior
6f07202e-421d-4740-90eb-7ee60e204085,collaborative practices
bb55f79b-d739-4543-b222-8ec7bd382d6d,construction projects
6075fb32-39c2-479c-ab86-80cf72e2be96,digital transformation
405425e0-6eec-49d8-bfcd-0d0568cea4ea,interdependency
7352c312-d0f2-4131-ad4d-77f2b24c4236,construction industry
65e6cbfd-7c90-4d19-9729-c1eb1674e675,adversarial example
ed9c92ae-aa6d-4102-af2b-8cb729584c98,generative adversarial networks
fef764b5-9db2-46bb-84d5-3c2f25d84af8,limited training data
b7195b49-b593-4314-bba5-5d63033d84ca,multi-view image generation
560bbce7-8e4f-434e-b423-48dd81b22ab9,underwater sonar image generation
99f600a4-64e4-4090-bb6c-9f922e712688,classification (of information)
340e2323-e5da-4482-b489-ea69931b0037,discriminators
1a721050-f925-42c8-86fd-194e612a8474,gradient methods
7d2d12d2-31a8-4e47-94a7-f014e62f3891,image classification
ca8a682b-cca2-40c3-842e-3a49dee069a4,image enhancement
aaabb35c-e4f7-4367-921e-dd71c455e087,object detection
21962a0d-8266-4442-b64d-12bc5f04b464,object recognition
061ee89f-c470-4b76-934a-21f182f20c7e,perturbation techniques
b02e8c00-a4c5-49e1-b4af-0524f954dd08,sonar
c84bd079-a18e-4fa8-af83-eed418e5108f,underwater imaging
0bee6f14-f9f9-435f-b581-a66301a4fd40,adversarial networks
5f162352-f42a-47d1-8465-183d8159a387,image generations
ac2c728d-6a48-4486-a96c-3e90dfd7066a,multi-view image
828802ad-adba-4500-a13f-ff57b8389658,overfitting
b78560c2-7d94-46d0-95a1-86815250ec48,sonar image
3211b65b-8797-4c6f-9cb7-0c199802ca34,underwater sonars
330242f3-38bf-428a-b719-8146141666fb,underwater acoustics
c37fcbe5-135d-4285-a338-e91b78a9a9f2,digital twin
d951bc36-7be5-4deb-a47e-8fd0424706aa,gis
50800700-ca59-45c1-9d2b-50ee37a407df,predictive maintenance
2949c08b-19fc-4f93-bd34-1f6605bc5fc7,rail transit infrastructure
782b7b62-9343-433a-848d-9c589eb20e1a,computer software
dc5702bd-56c5-4a3e-8e65-98f8a5055f64,data integration
dca078d8-227e-458b-bfea-9b229d8cba58,data visualization
1b72c257-7fed-4cd9-a0b5-7215b3c9783f,light rail transit
d0f3c4f5-9c1e-4640-8324-b7c9521b91a6,urban transportation
b32f6db9-61a8-479a-8d42-c49957b67ef8,intelligent maintenance
a2532bb7-b6b9-4360-8977-cfc8ef4748b3,intelligent operations
e88ba52f-0c2a-4307-bc96-0be33519724a,operations and maintenance
fb97e3a9-ae60-414d-93fe-ca89b198fc15,rail transit
88d4e5b9-74e5-4f70-a073-bc4404dbc6be,real-world
46938a9f-ef9d-465e-ac8b-1f2ce0dd8881,transit infrastructure
