affiliation_id,institution_name,city,country
61b62d6b-b9fe-43aa-b6e4-86b61ba1ad9f,"Xian Jiaotong Liverpool Univ, Dept Civil Engn",Suzhou 215123,Peoples R China
2043c94a-6a3e-44ee-ac4e-919fdf677d63,"Univ Liverpool, Dept Civil Engn & Ind Design",Liverpool L69 3BX,England
e9249532-eba3-40fa-95d4-83123ec52be4,"Chongqing Univ, Sch Civil Engn",Chongqing 400045,Peoples R China
c2d8e624-0528-463a-b71f-4cbbb7efc87b,"Chongqing Univ, Minist Educ, Key Lab New Technol Construct Cities Mt Area",Chongqing 400045,Peoples R China
a6f91042-f16a-4308-bd52-a276ab227f0a,"Victoria Univ, Coll Sport Hlth & Engn, Melbourne",Vic 3011,Australia
08380a5d-1f6c-4670-a7c7-6eb638690bfc,"Chongqing Univ, Corresponding Inst 1, Sch Civil Engn",Chongqing,Peoples R China
797298fe-0dcf-40eb-af2c-707e17e36918,"King Saud Univ, Coll Architecture & Planning, Dept Architecture & Bldg Sci",Riyadh 11574,Saudi Arabia
34db407e-348b-4cb8-b9b9-8edf387db530,"Hong Kong Polytech Univ, Dept Bldg & Real Estate",Hong Kong,Peoples R China
0e37dc51-d1f5-4de7-907a-97403d50e80b,"British Univ Egypt BUE, Fac Engn, Dept Civil Engn",El Sherouk 11837,Egypt
c2b6b3bd-99ea-492a-8744-4ddc1e6e5be6,"Gen Petr Co GPC, POB 743",Cairo,Egypt
cfe692ef-97e2-4ab1-9454-7cc2f8c9a4ed,"Najran Univ, Coll Engn, Architectural Engn Dept",Najran,Saudi Arabia
46e22a61-c55d-46d9-a5ef-8d750f6f0eb7,"Univ Teknol PETRONAS, Dept Civil & Environm Engn, Tronoh 32610",Perak,Malaysia
a5f5f115-8c20-4413-8d28-9f5a3b8c52cd,"Transilvania Univ Brasov, Fac Civil Engn, Turnului 5",Braspv 500152,Romania
7155947e-7395-4203-92b1-05c9cff89843,"Najran Univ, Coll Engn, Dept Civil Engn",Najran,Saudi Arabia
30b0a03a-6b70-4e40-b0b0-fec0b3000883,"Taif Univ, Coll Engn, Dept Civil Engn, POB 11099",Taif City 21974,Saudi Arabia
ff5d53e6-9ec3-4c26-b797-02816876d998,"Concordia Univ, Dept Bldg Civil & Environm Engn, Complecc Lab, Montreal",PQ,Canada
7e303f56-640c-46ca-a6d3-676baf1b1f3f,"Deakin Univ, Sch Architecture & Built Environm, Geelong",Vic 3220,Australia
60e1194a-f217-459f-87d4-7b5f4c9a6997,"Univ Melbourne, Fac Architecture Bldg & Planning, Parkville",Vic 3010,Australia
e9fb5f63-2e57-4b32-ae62-21f734e17623,"Birmingham City Univ, Fac Comp Engn & Built Environm",Birmingham B4 7XG,England
d3e02806-21a5-4966-9087-884ae403ce0d,"Dalian Maritime Univ, Dept Civil Engn",Dalian 116026,Peoples R China
27542b76-6024-4617-9911-0df79283a4ad,"Cardiff Univ, Cardiff Sch Engn",Cardiff CF24 3AA,Wales
3d0c04a9-24a6-47c8-ab28-2b0c8332a3d6,"Cracow Univ Technol, Fac Civil Engn, Div Management Civil Engn",PL-31155 Krakow,Poland
d5f9155b-44d1-4bda-93f6-72dc9b09d4a3,"Univ Manchester, Dept Mech Aerosp & Civil Engn, Manchester",Lancs,England
5265f2e4-6fa8-40a7-8b5e-c456e39c9bfc,"Aston Univ, Dept Civil Engn, Birmingham",W Midlands,England
8e188223-2f38-40b0-bda5-89c7c64f92fe,"Univ Nottingham, Dept Civil Engn",Nottingham,England
241ebcd8-9cbc-4619-8d67-1ccf8719c679,"Univ West England, Sch Architecture & Environm, Bristol",Avon,England
