keyword_id,keyword
b343c0bf-928c-4ddc-874b-527c22e719b2,building information modeling (bim)
cbd34784-a6ed-4b92-932b-250c255fa915,life cycle assessment (lca)
9b5a247e-757c-40ec-90fe-e4c677cb7ed1,sustainable construction
06edf472-9ef1-42d5-a790-8c0412d079c8,software interoperability
36ff19c7-9342-451b-82b2-c2399839282a,data exchange methods
fcd36f81-9291-4564-b22b-fff4e95e72a0,digital twins
a0e47efc-f761-436d-94da-8a9d63bcc42f,bim
3096e7b3-a760-4eb1-a94b-f814de1781b4,structural equation modelling
fbee0135-0661-476f-a595-931239630636,sem
c6765e34-7cdc-4ccc-8edb-7e7414c8b5d1,developing countries
bdcc05b4-e780-4641-a8b5-12c6fec61fd3,risk management
d7897142-ca9e-495b-869b-9e0d2bacb042,dispute resolution
333ec271-d726-4fc1-bcda-89b0c4463b29,legal awareness
0d6c7ca7-4732-42c3-bd16-e5d25e855e5c,contractual frameworks
6f486b3d-e42c-4faf-95b4-f4aa9baf2855,management
b5cd0acb-39f7-4443-bf58-97afaef278d3,digital twin
ce33222e-d758-4fff-b6d2-00d281ea4c14,hvac
a13f6e9d-a678-4e92-accb-326c60e313b8,afdd
a6556935-3e98-49e4-a18c-ef54b24b2436,ontology
6bf2b084-d1da-490d-9517-f6c0432e03f4,innovation diffusion
11cfc486-05a3-4133-938b-2e3b5b7a06a5,implementation
aace5b8e-fe92-46dd-ae29-1a0f3e7724f3,aec organisations
4dc5f975-c23f-4d60-99a3-ed53e3872d50,construction industry
cd6ac385-f1b4-4ac6-ba84-71a32f764da8,digitalisation
bf17fd73-bdd0-4e29-85e8-eb12957207af,change management
a06e4cae-8ffe-4481-b80e-ec096a842974,bridge engineering
a9b53eba-1167-4b3e-b8b8-75641c198066,digital transformation
67e9985a-6c92-446b-b5a0-ede8ed215ed0,dt enhanced bim
914df18f-5628-4672-a513-d695c5449108,full lifecycle
1e6ba4db-ffa7-45e6-82ad-3ffc7195bdc2,bim 3
816030aa-e518-43bc-8131-32bf39e9e600,0
5efc788f-7acb-4ed7-9681-414dc6b5d581,ict
daa89921-71d8-4d9c-bd94-f5d43c884f23,bim policy
559af087-ce41-4f4b-8482-e1382ae68498,bim mandate
3fc77518-5db2-4a9b-bf49-f663121c6bdc,bim implementation
e938dd13-b98b-4e24-bbbe-9754246802dc,aeco
024750bf-00b9-41c9-86fb-d2fc3f962181,industry 5.0
8493aa5b-97ae-4fe8-8114-a93ca76eea4c,bibliometric analysis
7981679c-fea8-4846-a0a1-ffde6c887fe2,project management
366df57d-61a9-4c24-b15e-a7630ec268d8,science mapping
8a324ffc-cf08-432a-b998-4f60c2209c06,scientometric review
b2b315c3-1a7a-4f8d-9a27-803d5f258aae,bim maturity assessment system
84fd3ea6-3542-48ec-8b90-8d99ffa4eda2,optimized aggregation
3056f213-15c4-407f-a6e7-dae519b65cdb,probability distribution function
b7eff343-7f31-448f-8ae5-71d31dd9df7b,large-scale group decision-making
90bfa945-788c-4e45-9da8-3acc8226c2f8,project-based assessment
0b2fc5e8-bc39-4c5a-915b-ba41cd561358,highway
5e359c45-2044-4157-b8b8-936ec16ff343,construction management
f81ec292-759d-4e23-89c8-86269ec9a285,construction simulation
9d2d30b3-1b93-4ecf-ae44-65083472d69c,geographic information systems (gis)
0e9ed4b6-0d47-499f-bce2-0492154f2354,4d bim
45f86045-10a1-4bfa-a9ba-e9d40f587850,lean
b4a01310-a6fa-4e73-ab6a-87648cf682a7,scheduling
bc62be01-50b3-47b3-9523-94a767ae9df4,modular
5739c7dc-03db-4c56-bf81-7069c0ab2a46,construction sector
3b87c646-e316-43df-b587-7a8c388d6d3b,barriers
802db180-c5f1-4e28-8f8c-8e5e888980a1,small contractors
023161b2-d1d2-4712-a026-8afb25e2d0e4,malaysia
efbe30fd-da61-45b7-b0c7-d2cd29eacbc3,life cycle assessment
320e353f-b14f-4c8f-8a05-bff90b5bb546,energy efficiency
