venue_id,venue_name,issn
7f0aed04-6acc-47e8-b40c-f9b31e0155b9,SUSTAINABILITY,
25927027-cb90-4e7f-ad3a-ef53863b0375,BUILDINGS,
ae2950c3-9eb3-430c-a06c-455bd51f1787,AIN SHAMS ENGINEERING JOURNAL,2090-4479
098c5f0e-dcde-4e02-b0fd-c72419c8ccbb,JOURNAL OF BUILDING ENGINEERING,
e8a9eb5a-f188-4594-a816-78c9b327fd00,AUTOMATION IN CONSTRUCTION,0926-5805
99e8e132-2c95-4631-9a0c-fe2fb9822fff,APPLIED SCIENCES-BASEL,
2d8108e4-73dc-48e4-bbbd-7452b12a1e4c,ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT,0969-9988
efe292a8-0cc7-424e-910b-ff0e2e246ff5,SCIENTIFIC REPORTS,2045-2322
c9b60149-ccee-4cb0-9506-f382b062a235,CLEANER ENVIRONMENTAL SYSTEMS,2666-7894
84e0d7ff-f3e2-425f-8ca4-78b4f4df6e63,COMPUTERS IN INDUSTRY,0166-3615
62e31214-b768-48c9-8e3a-788c0b36d647,JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION,1874-4753
73932822-7698-46b2-af32-f6e2b708d06e,ENG,
4cd94712-467f-41d7-8f85-05eaf8678228,ADVANCED ENGINEERING INFORMATICS,1474-0346
3d033755-d313-4788-90f1-d5a6d0ac846f,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,0733-9364
ef466883-8c05-4a89-9d17-0737851b98e2,JOURNAL OF LEGAL AFFAIRS AND DISPUTE RESOLUTION IN ENGINEERING AND CONSTRUCTION,1943-4162
7fcff8ec-f924-4e17-869d-d1c98ef68d2b,ENGINEERING TECHNOLOGY & APPLIED SCIENCE RESEARCH,2241-4487
fb61402f-f628-454c-8b35-c808d1719b34,TECHNOLOGIES,
02623211-c9fe-45df-8ede-e3c708d11c34,REMOTE SENSING,
7de08bd0-b46b-4549-9933-8073a17d68bb,ARCHITECTURAL SCIENCE REVIEW,0003-8628
16fa5918-6b7f-4a2a-8090-016621986c95,BUILDING AND ENVIRONMENT,0360-1323
9bd55e6a-9217-4d37-9df8-f8087482f14f,INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT,1562-3599
1cf5614e-7f15-4f08-aa9b-2887c55a7868,JOURNAL OF MANAGEMENT IN ENGINEERING,0742-597X
d9fe457c-7612-45c9-8689-995f23cffafe,JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT,1392-3730
55344554-eed3-4dfa-aed1-9c56c7690928,JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING,1346-7581
fe9e8194-b06d-4bce-9045-e71594377183,ASIAN JOURNAL OF ENDOSCOPIC SURGERY,1758-5902
729aeb53-84e1-4aa0-870a-af7fbe8c43f0,"PROCEEDINGS OF THE 29TH INTERNATIONAL CONFERENCE OF THE ASSOCIATION FOR COMPUTER-AIDED ARCHITECTURAL DESIGN RESEARCH IN ASIA, CAADRIA 2024, VOL 1",2710-4257
d101b554-47b5-406d-872b-a198cb4513fc,INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,0169-8141
94192889-fda4-43f1-b538-ef6b6eab2f7b,FRONTIERS IN BUILT ENVIRONMENT,
9840209f-6f3d-46c0-803b-51c9c58a0d97,INTERNATIONAL JOURNAL OF SUSTAINABLE CONSTRUCTION ENGINEERING AND TECHNOLOGY,2180-3242
abcf6dda-eb14-42d6-89eb-87b87b231564,INFRASTRUCTURE ASSET MANAGEMENT,2053-0242
e6c38e50-11aa-46c4-802d-dd87db0b9032,INFRASTRUCTURES,
0b59795c-f608-4a98-8ceb-9e769cb0ccd2,CONSTRUCTION MANAGEMENT AND ECONOMICS,0144-6193
18bf90a3-5654-42b2-b9de-c8208419001f,CASE STUDIES IN CONSTRUCTION MATERIALS,2214-5095
217ff82f-07ba-4339-b71b-e7c430497cb3,BENCHMARKING-AN INTERNATIONAL JOURNAL,1463-5771
5b516520-62e1-4555-ad9c-ea477592af33,FACILITIES,0263-2772
073e71be-2c4b-4c43-a599-85c572929246,BRAZILIAN JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,2237-8960
fc269048-209a-45f7-be9b-b3a2aa78e276,CLEANER ENGINEERING AND TECHNOLOGY,2666-7908
8c3456e5-8ca8-4d6a-a1cb-d5bdb7af3b4a,ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT,1745-2007
7d61f16e-4cd7-4ecd-8850-40eff1754f32,JOURNAL OF ZHEJIANG UNIVERSITY-SCIENCE B,1673-1581
e1dda556-45c2-4e8b-9462-3125be8fb831,CANADIAN JOURNAL OF CIVIL ENGINEERING,0315-1468
695e1477-c1b2-4b4d-8138-cfa4e7849357,APPLIED SYSTEM INNOVATION,
ff580c7e-869d-44cd-866b-e76fea6727d1,"SDGS IN CONSTRUCTION ECONOMICS AND ORGANIZATION, CREON 2022",2198-7246
136c671b-468f-41d0-bc5b-d8fa37dd23bb,ADVANCES IN CIVIL ENGINEERING,1687-8086
d0794393-9f75-4be6-91bc-e5d5b6d078a6,JOURNAL OF CLEANER PRODUCTION,0959-6526
5e62889d-f308-4d63-a7e8-c3596977e698,SMART AND SUSTAINABLE BUILT ENVIRONMENT,2046-6099
8bf3dfa7-50d3-479a-8779-7d4cc79e7ed3,TECHNOLOGY IN SOCIETY,0160-791X
cda7095b-fd63-4f0e-9360-4e9efdab9e96,CONSTRUCTION INNOVATION-ENGLAND,1471-4175
